,Vulnerability,Vulnerability Type,Average Score
0,Misinformation,MisinformationType.FACTUAL_ERRORS,1.0
1,Misinformation,MisinformationType.UNSUPPORTED_CLAIMS,0.0
2,Misinformation,MisinformationType.EXPERTISE_MISREPRESENTATION,0.0
